study_hours,sleep_hours,attendance,previous_score,extra_classes,final_score
4,5,97,55,1,96.33275680711736
6,4,63,50,1,91.00454260584554
2,5,50,45,1,62.52728922140657
2,5,65,40,0,51.8620952932212
4,4,67,51,0,79.6468458916738
8,6,56,77,0,103.96868306819604
7,4,64,67,0,93.43323274949707
9,8,73,84,1,141.46022028179766
8,8,98,56,1,114.88181777945385
5,6,62,40,0,79.3110498121325
2,5,58,71,0,75.7104613104131
5,6,64,47,0,81.65086096440042
8,8,84,79,0,122.11000271277256
9,6,73,82,1,126.78194280944601
9,4,82,85,0,121.45970295470269
1,6,65,63,1,72.7404082061197
9,5,57,49,1,109.1564156205537
7,4,78,86,1,107.83669719600361
9,7,72,78,0,124.70729052007688
8,8,94,78,0,127.31171149343776
1,8,80,49,1,77.99199560664701
8,6,89,75,0,121.78489713820065
8,4,98,64,0,108.93700302365804
3,7,63,89,1,88.05512962086563
1,4,79,49,1,65.83853670142757
8,8,88,58,0,106.44402891187724
3,4,76,85,1,89.64070395070968
3,7,96,84,0,93.58790163083793
1,6,65,54,0,61.11327570778083
5,5,55,55,1,81.01688153008276
7,4,82,41,1,81.21215085036448
9,5,93,68,0,120.40110955641146
7,8,67,43,1,108.70160929002441
9,6,65,89,0,124.03118596748145
8,6,61,68,1,108.28538021732886
2,4,69,70,0,73.42626802161892
1,6,94,56,1,76.09507065993412
7,4,89,49,0,94.65020791933479
7,4,78,66,0,99.21495952963383
8,5,79,80,1,114.49475784800853
5,6,75,54,0,94.91444194473915
3,4,71,83,0,78.36422882145115
8,5,82,70,0,113.19165771597123
6,7,88,60,0,99.89401186341235
3,5,96,80,0,103.30415907532873
1,5,78,85,1,87.60432299624111
3,4,71,84,0,84.50047231408375
5,8,94,65,0,100.46146400782752
3,8,62,77,0,88.2995334725988
1,8,58,75,1,75.186046525018
5,5,73,56,1,86.06565237441045
7,4,64,42,0,74.27528015404071
7,6,85,53,0,94.38511550812953
9,5,62,88,1,123.06953240830224
3,5,76,52,1,80.3008752464226
7,4,93,80,0,101.00335152501799
1,7,86,66,1,82.11394148477899
4,5,56,40,0,69.61704975411065
4,7,57,56,0,78.28543903311882
5,7,86,87,0,105.13105677111099
7,8,90,89,1,125.43919427475893
7,4,63,73,0,95.6961832251139
4,7,61,53,0,75.61634720445971
7,4,85,56,1,102.36911762622424
3,8,89,42,0,90.23844113867726
6,4,66,73,0,90.58150041547408
2,5,89,79,0,84.60928683669287
9,7,78,64,1,119.14151030312385
5,4,76,41,1,77.86322782820852
6,6,50,73,0,98.99117901761713
4,4,83,65,1,78.54557313346781
7,7,53,70,0,97.24470414810662
9,8,73,48,0,110.99156868159982
7,8,70,69,1,110.02952845805683
1,7,82,59,1,73.99580520574854
1,5,56,60,0,64.00378377219381
9,5,50,68,1,113.53171617698575
9,8,90,64,1,126.05317722607529
4,8,52,77,1,91.09389820093558
9,7,93,83,0,130.68101659575873
3,5,64,64,0,74.18975349862605
7,8,80,48,1,107.72593440946913
6,5,65,78,0,105.91629442428295
8,8,59,83,0,102.17211622155733
9,4,78,65,1,114.45533736597817
5,6,55,76,0,82.82133031526186
1,4,78,55,1,81.10894292664887
3,8,66,76,0,86.45937733101904
8,6,71,51,0,102.53186620912686
6,6,73,63,1,100.22341570202553
8,8,66,65,0,104.2845770964047
9,8,70,59,1,111.88973476411286
4,5,99,48,0,91.62839586550379
1,8,60,62,0,74.77969030089156
1,7,56,78,0,84.5179204368878
4,8,91,68,1,102.5772666757885
7,7,88,70,0,111.83959810623001
2,8,54,58,0,69.86404217172357
3,5,93,59,1,85.96458898442496
1,7,97,62,1,78.89056533761315
5,4,70,82,0,95.42005095462176
1,7,67,66,1,73.15376702556901
8,5,84,69,1,116.90954461082102
1,7,69,60,1,75.55005109490105
1,8,64,83,1,88.13841021837861
2,8,54,74,0,87.57564969845113
2,5,62,88,1,87.41141025117204
6,6,61,46,0,87.08363501426714
7,8,70,61,0,112.7575473204279
5,4,86,49,0,89.83308534647523
1,5,55,62,1,73.26584849227422
1,7,56,54,1,66.2665589223975
3,7,75,69,0,87.14821527783899
2,4,91,73,0,75.20861853985029
5,8,97,52,1,103.59457200482207
6,5,57,43,1,84.9723008880692
7,4,58,57,0,89.01692562578091
4,8,76,62,1,99.9359739412143
7,5,53,72,1,95.86112588787802
8,7,70,73,0,119.67431425580173
1,5,80,73,1,85.00882343970142
6,6,70,75,1,105.14683010174014
8,5,89,74,0,112.95635206091303
5,6,74,56,1,94.60305607624298
4,5,88,67,0,97.5042561603189
2,6,64,53,1,73.20803859345006
6,7,84,73,0,106.42015450989614
6,8,98,87,1,123.99059238812936
1,6,92,50,0,78.51012056350736
9,6,90,52,1,113.15558448531488
6,7,86,72,1,110.65246200690464
3,6,91,41,1,87.11717827130497
4,4,96,73,0,94.03505416806432
4,7,77,68,1,101.7852943002276
3,4,63,76,0,75.34359971548521
3,7,53,43,1,70.37353739185744
3,6,69,51,1,85.62217019220114
4,4,83,65,1,87.01830142118227
7,6,61,67,1,103.04350480115146
4,7,82,42,1,85.88342615445738
9,6,73,59,1,108.45422741003507
1,4,69,49,0,56.130949406890515
8,4,54,57,0,93.2631834091282
7,6,87,66,1,111.3334086708098
2,5,79,70,1,90.10176010418569
8,7,73,66,1,121.60728597416127
1,7,92,81,1,87.81957563999543
9,6,89,40,1,109.25634259583745
9,5,56,45,0,97.67124154212382
2,4,85,50,1,81.08173732899598
7,8,87,73,1,122.19245148658564
3,8,65,78,0,90.95456700796166
7,6,64,59,0,99.03271265991316
9,5,95,60,0,116.8688441716813
4,5,72,60,1,81.96142853857815
1,7,61,57,1,71.76399396253134
2,4,78,60,1,83.69580497094346
1,5,93,58,1,75.86321615652999
5,8,97,43,1,97.24723321273721
5,4,64,52,0,76.9874177523699
7,4,78,57,1,88.33070252196563
9,6,94,68,1,124.30295088617339
9,5,92,64,1,121.10895965326436
3,6,98,52,0,79.83753304559549
3,5,70,66,1,78.22681525557635
3,7,64,58,1,77.79696770109176
4,6,63,88,1,103.72093808067783
8,6,91,40,1,114.16262386523452
6,8,93,77,0,119.31216670452717
8,6,65,58,0,93.77826997584724
1,5,64,40,0,58.473136552753516
8,8,91,79,1,124.48418812095355
4,6,53,56,0,72.98866468745612
1,6,76,60,0,67.49012201014358
8,7,72,61,1,114.63033474927715
4,6,78,54,1,92.1962668822452
6,4,90,89,0,109.00984464360106
8,8,58,78,0,111.99464629495988
4,4,92,87,0,101.42131871617896
3,8,92,78,0,100.4399726976212
9,7,56,71,1,122.18112853379264
3,6,91,88,1,96.878140122454
9,6,53,43,0,94.50013669902016
2,6,54,83,0,74.35987812054411
2,8,54,84,0,83.94528860468299
2,6,60,71,1,79.3691235615962
6,4,90,43,1,91.26625273048649
3,6,77,40,1,71.10128555944733
9,7,65,72,0,107.06355103396285
4,4,90,46,1,72.52781236642548
1,6,79,48,0,64.0440992286758
4,6,53,40,0,65.74499447083531
1,5,51,55,1,59.42031167598086
5,8,95,57,0,104.61274231415831
4,4,52,86,1,87.30280906602344
8,5,99,45,1,114.28417041069402
8,7,70,41,0,103.61921872134629
7,8,55,48,0,81.7454976660531
3,4,92,43,1,77.56190729499484
1,6,67,84,1,82.10151754582004
1,4,93,62,1,62.340980276413674
3,6,54,82,1,81.97679373465793
6,8,58,84,1,114.27468053554237
7,6,69,82,1,123.79599626355632
6,7,77,47,1,100.11339071349623
6,6,75,78,0,105.11816236256489
6,7,67,64,1,100.99333809184456
3,8,68,55,0,87.31331457324058
6,8,52,74,0,109.34119600978819
8,4,58,56,1,95.46578660237907
2,7,85,57,1,73.00006719844855
5,7,80,66,1,90.50906268364399
1,5,98,54,1,83.00940496079902
1,5,66,56,1,67.56470729612806
5,5,72,82,0,98.51620955229359
3,6,83,44,0,64.94674503521644
4,5,90,55,1,85.73405543605767
3,7,90,54,1,86.5225959304961
1,6,54,81,1,79.73919191682036
1,8,64,85,1,85.70703980543121
5,4,96,73,0,93.11336900849328
6,5,52,87,0,95.17716503698738
3,8,68,58,0,86.44161642973617
9,7,77,47,1,111.82392309801749
5,4,52,86,1,99.66078403477775
8,8,87,49,1,107.10563094561334
1,4,53,44,0,36.130882572996875
5,5,73,87,0,97.78447846557752
3,7,80,65,0,81.16714722787252
1,4,94,61,1,78.4450613431404
4,8,94,83,0,122.12861856840921
5,5,60,62,1,92.47583008809129
7,5,86,52,0,110.47980079691744
1,8,50,48,1,67.84384847669725
3,8,58,88,1,94.25056881213644
2,4,66,59,1,74.03958039060441
9,6,50,67,1,119.40319299738854
6,5,52,83,0,106.24781298160619
3,4,96,76,0,86.9233131597846
8,8,75,63,0,111.26591847849649
8,4,80,83,1,111.35366560164428
2,8,75,72,0,88.62334312345715
6,7,72,59,1,107.86677349527946
7,8,79,87,0,118.39899727058008
2,8,59,69,0,74.86307972819937
2,8,57,83,1,91.40065475638781
1,6,93,48,1,75.98729515681583
8,8,74,84,1,125.60571915924811
1,5,71,88,0,81.19357562167976
9,5,64,56,1,106.33092574765315
6,4,90,75,0,107.47977464113202
7,6,59,53,0,94.88113722582564
7,4,69,58,0,87.78448426427926
3,5,90,46,1,74.94704698420702
2,5,96,42,0,68.52812791486718
9,7,72,72,1,125.28418562052589
8,8,50,83,1,118.24028706945407
7,5,51,71,0,92.58424794938672
9,4,68,86,0,117.70759298362916
4,4,63,50,0,70.24594740238865
4,8,57,81,0,98.00243230112065
1,8,87,41,1,74.26529217533523
8,7,61,65,1,108.22360906273927
3,6,75,43,1,77.15759386023231
7,4,76,56,1,105.375240297621
2,8,78,56,1,79.55184961726812
2,4,64,67,1,77.7132849082358
7,8,95,69,1,118.64769829767002
6,5,50,79,1,101.6349184193105
3,4,92,62,1,83.32717529202134
9,5,77,85,0,121.15167716579687
6,4,52,63,0,90.639116412084
6,6,67,68,1,96.41496509376945
1,7,83,43,1,63.7529744833746
4,5,81,77,0,86.34272217756518
6,8,78,68,0,97.54668734899906
6,6,74,58,0,96.17661643946332
5,4,75,66,1,86.47070157067267
1,5,88,68,0,73.91052327628235
8,4,57,75,0,105.69144651655354
5,4,68,74,0,92.48329530274297
5,4,96,45,0,82.37220510018757
7,7,91,62,0,108.25461865877553
4,7,71,78,1,99.83572664868784
6,8,78,85,0,110.77879522225908
4,5,82,83,1,100.04582640672709
3,6,87,87,0,107.7771371737848
7,6,94,47,0,102.74655451965651
8,6,95,41,0,113.40325458756071
4,4,84,52,0,76.7151843353975
2,7,92,79,0,90.67516701555925
3,5,52,60,1,68.93937117361676
1,4,68,70,1,69.35216598955215
8,7,59,87,1,129.7095657433125
3,7,76,75,1,91.68982855079122
7,5,64,87,1,122.2964065007223
5,5,60,77,1,90.28318869660055
5,5,96,66,1,96.53265482963361
7,4,75,75,0,101.2938438948829
9,8,73,87,1,131.08125039160413
5,5,62,62,0,89.21543646225064
1,8,81,60,0,77.55385208593133
1,4,86,52,1,67.71842371327986
2,8,53,76,0,79.23342096740947
6,6,62,86,0,102.0046854010765
9,8,58,65,1,111.32673132337136
8,5,98,79,0,114.4601853169919
5,4,83,46,1,91.03941945716706
1,5,86,85,0,74.1591753603643
7,6,97,78,1,128.18679348722526
5,5,56,61,0,80.58502887198884
6,5,50,78,1,95.1374569680392
7,5,61,62,0,97.99879645348635
3,7,70,69,1,96.92608292073558
3,6,60,57,0,79.08816220801978
5,5,93,81,0,105.90926024679946
6,5,93,57,1,106.83431744860918
9,5,93,85,0,116.81751211428067
5,4,63,49,1,78.79084729255926
1,7,83,78,0,78.34414969987579
4,4,83,69,0,93.52319365607588
5,7,74,65,1,96.78260990538057
5,5,53,46,0,78.12703278391028
7,6,75,46,1,100.17928471244319
4,8,65,44,0,73.18846531918159
1,8,59,40,0,55.76520895011858
5,5,94,85,0,112.16908845407363
7,4,51,57,0,82.92258675657793
6,6,84,52,1,98.8243380509774
5,7,68,64,1,92.48729356836778
4,5,55,79,0,84.4302390654207
2,6,68,47,0,65.66919028015015
4,6,57,49,1,74.68566744851253
3,7,63,71,0,78.5977652300806
1,6,59,56,1,69.13136668388721
8,4,52,77,0,97.87631295604412
5,4,87,54,0,82.04671222150662
4,4,78,54,1,78.70473428149015
8,6,64,87,0,114.3104597683434
7,4,72,79,1,113.8185081719992
2,7,72,59,1,87.63264318156132
1,6,67,54,1,65.47040957003111
4,8,95,74,1,117.25155396665606
8,6,68,45,1,94.87647569646603
2,7,77,69,1,92.01774261663934
3,8,75,47,0,73.39151772992278
1,6,59,70,1,70.34538365064995
1,4,96,87,1,86.57621921607806
3,5,53,86,0,83.63776150175441
5,5,51,71,1,93.69986085516805
3,4,52,84,0,83.94934018952411
1,5,56,54,1,59.080074923260554
1,5,65,57,1,63.051703562443656
8,4,80,52,1,98.41680653318227
2,4,59,63,0,66.64322798807245
3,6,68,79,0,85.84922197904564
2,6,77,53,1,71.84912268965103
3,4,66,67,1,82.64801847031622
7,7,77,50,0,108.41284404167658
1,5,68,45,0,55.37642269082424
8,6,86,64,0,107.63244089398233
2,5,72,40,1,69.39830785162184
3,8,69,64,0,80.90591854131603
9,4,62,41,0,95.44482240859091
7,7,62,71,0,99.50728646610479
4,8,92,52,0,98.7605980378865
5,8,60,72,0,96.72387486296147
2,8,97,71,0,87.49988525461643
8,4,64,63,0,95.75654150265363
4,6,66,66,1,87.23100123645982
9,4,99,43,0,111.06374833124437
5,6,77,63,1,90.25624496199357
9,8,68,62,1,114.06029164770248
4,8,53,68,0,83.09169721537288
5,7,71,73,1,101.72156016621531
9,6,71,60,1,111.94445153676602
8,8,86,69,0,108.84386084304768
3,5,88,65,1,86.90088658202266
1,7,83,59,0,72.90224658407516
3,4,82,55,0,71.95951082460108
4,7,93,42,0,86.33387744523833
2,5,91,88,0,95.89704214376823
1,6,89,76,0,81.30806650135304
7,4,82,79,0,108.25270793425364
8,4,61,83,0,96.99472001325364
7,6,51,64,1,97.19448613919084
5,7,77,62,0,98.12410845878956
1,8,59,83,1,83.08281708410361
7,7,71,40,0,86.61369161804019
7,5,66,72,0,112.18844463015465
9,8,75,54,0,119.59538595097902
3,7,52,56,1,79.93787456241078
9,6,56,73,1,120.99455305740024
1,5,93,56,1,64.77032291020961
1,5,57,80,1,73.16224279685646
4,5,69,83,1,94.85021063413424
9,8,61,43,1,104.62009950566527
6,4,84,52,0,86.75027989513019
3,8,66,43,0,59.54986854241827
1,7,77,46,1,72.0301230935428
4,4,90,85,1,105.21827064140304
9,7,59,48,1,113.70949395794992
3,4,71,62,1,76.35845367612518
9,8,87,72,1,123.74918421110048
7,5,82,72,0,92.20007757017765
4,6,71,59,0,81.33216581704556
3,5,93,43,0,78.90555890531087
5,8,86,40,0,83.7411606890364
5,4,62,81,0,102.81722409271823
3,5,76,73,0,83.01702582105239
9,8,64,66,0,113.93496142144278
4,7,71,60,0,78.48448459709203
5,6,79,63,1,98.6361017258764
4,5,92,54,1,79.70340102573653
5,4,89,74,0,100.16848977506572
7,7,86,64,0,110.42214088117706
9,8,83,48,0,116.69645712168256
7,6,93,56,1,102.80015640616156
5,4,83,60,1,93.70281059148711
7,8,97,52,0,108.91908279693251
5,8,84,42,1,94.41140819165155
3,5,91,43,0,69.47350362432574
7,5,68,43,0,74.9400905522193
2,4,57,82,0,77.8348014844224
9,8,88,67,0,120.1375016084504
1,5,82,46,0,59.76664703519279
6,6,93,65,1,111.21972681857734
7,6,77,50,0,94.87540230922782
8,8,86,63,0,106.704024736161
9,5,97,82,0,115.44273855451888
2,4,74,49,0,59.055183674334174
2,4,85,76,1,98.46506147383394
5,4,66,52,0,82.41388386966386
5,6,73,83,0,101.34306170987506
6,5,70,81,1,105.59169536407097
3,5,51,78,0,78.06303530026281
8,6,80,58,0,110.83597991679548
1,4,93,58,0,67.44702129048285
6,4,82,51,0,90.98460205342145
4,8,79,61,1,93.45786024854203
1,7,61,86,0,90.00078315917531
7,5,93,76,0,114.61144253789152
9,5,61,69,1,119.02778407341813
4,5,98,85,0,98.9779511265588
4,7,73,51,0,86.69068056283712
6,8,73,68,1,105.33711287302656
3,7,60,60,0,77.55017411966425
6,4,62,50,1,94.77523835309728
7,4,76,76,0,98.5861247162179
3,5,57,87,1,91.616238656527
7,6,59,57,0,95.39002629259363
3,5,57,83,0,86.20002190400405
2,6,69,66,1,78.44607753453268
4,7,57,76,0,99.5313205040404
8,4,58,87,1,107.42534057329871
9,6,56,51,1,111.59442694316235
7,7,63,62,1,109.9753280279582
1,4,77,73,1,87.10444394801841
3,6,51,77,0,72.85886450646089
9,5,92,62,1,114.25584256055144
1,5,57,64,0,71.5597152958082
9,5,62,43,0,85.71480422684846
8,7,70,69,1,106.46770549479793
1,5,96,69,1,80.85846106644254
6,8,77,52,0,96.05996894311133
5,4,84,81,1,111.66112536824387
6,7,72,88,0,108.6736704253482
5,5,95,53,1,91.95880425967731
6,4,64,86,0,101.75694968848214
5,6,51,47,0,78.147982416472
5,5,61,63,1,92.00619911085136
4,4,85,57,0,81.11006896024327
3,8,52,74,0,73.82456943040924
3,6,54,64,1,75.61192005446834
4,8,52,56,1,91.7013554263373
9,4,96,71,1,123.235344689883
2,8,68,63,1,81.28738940446472
9,4,51,46,1,101.89084274186987
1,4,93,52,0,61.24941683815526
1,8,86,66,0,78.67325933143496
5,4,66,87,1,101.98879202587018
6,5,63,44,0,78.69311248352686
6,4,77,75,0,99.10381411450798
3,7,76,65,0,83.36153034289117
7,4,59,81,0,94.20328476107063
9,7,52,84,0,117.50738940939527
8,4,85,70,1,106.85824104243567
6,4,87,49,1,94.4280756254836
8,8,74,85,0,127.57067912075055
5,5,71,65,0,87.39488401361973
8,5,97,61,1,108.74258435014507
4,6,88,51,1,88.2650609339751
8,8,96,71,1,121.14014445960734
2,8,79,66,1,90.67254501315735
5,5,70,72,0,91.26005626238573
9,8,79,59,1,127.74881625832288
4,5,77,78,1,102.91494797838669
6,8,80,80,0,109.23459747759298
1,4,75,79,1,83.57804533986545
9,5,92,52,1,111.63381795418577
1,5,71,53,1,67.96978442582584
5,7,70,83,1,104.69282901824843
4,8,50,79,1,99.33227979924854
3,8,86,61,0,94.46494138354788
6,5,62,57,0,91.09324103595571
2,4,70,87,0,87.10968300642678
3,4,95,68,0,90.11516718617865
5,4,58,82,0,94.15627961167355
9,8,66,55,1,107.60356920394865
2,7,96,85,1,108.8048575970825
8,5,70,74,1,122.02205413349212
2,6,80,73,1,86.33060198343316
5,7,88,42,1,89.5465104239191
7,6,71,43,1,97.86205826457687
8,7,61,44,1,102.05406417591752
1,4,55,49,1,57.99026965623491
6,8,65,68,1,98.24987172206198
1,6,75,71,1,81.52850595374889
2,7,54,70,1,82.95718269087773
1,8,58,41,1,67.52910574019398
5,6,95,51,1,97.74646386177103
9,5,89,66,0,113.34442425819046
6,7,63,44,1,94.8700101975314
1,5,93,76,0,81.2292424878296
1,4,91,66,1,75.9753849281764
2,5,79,62,1,78.7967330897714
9,5,75,72,1,109.77015483762509
3,7,94,43,0,77.78879087910731
1,4,78,60,0,69.84218259937334
5,5,68,63,1,93.59891511069615
7,8,96,83,1,133.90332086490594
6,6,57,70,1,97.78512542992148
1,5,72,83,1,85.53656581526657
5,4,91,87,0,107.76370088152886
5,5,84,63,0,103.41428504143704
6,6,80,88,1,115.72382745558821
3,4,84,49,0,67.47906410567988
5,7,81,88,0,111.53964376677641
7,4,54,88,1,117.52863677984229
5,7,65,89,1,106.38725644886689
5,4,66,41,1,82.50540769303208
5,6,81,70,0,102.44364027614459
3,6,87,64,1,95.18532771985076
1,4,81,43,0,59.42779261236789
5,5,69,50,1,82.20763120893427
9,6,97,56,1,118.69360225993206
1,7,51,83,0,78.09300226938815
3,7,69,41,0,74.74111262045865
4,8,96,45,0,88.9697252399952
1,7,67,48,0,61.20046016729711
1,8,50,44,0,60.776898280748846
8,4,78,59,0,105.20042533871411
2,4,78,68,1,82.29805028207241
8,4,68,60,0,94.21906442730838
7,5,93,48,0,95.99296982641405
2,5,89,67,1,89.93910388206234
6,8,55,47,0,79.08491095627762
6,7,93,70,0,96.4341098880442
3,7,88,59,1,97.44041425072011
2,4,99,66,1,88.2570762751094
1,6,95,47,1,77.03365001260053
6,5,57,60,0,81.71591513186472
5,5,73,67,1,99.0876403173327
9,4,69,62,0,106.07624343784182
1,5,63,45,1,53.47836211075801
7,4,54,42,0,87.3214170713693
5,8,90,44,1,95.79341661809364
5,7,89,48,1,92.71958016960366
2,6,83,46,1,73.01005127007392
3,7,65,43,0,59.92389047283812
7,7,94,78,0,119.16668299815682
6,8,56,44,1,91.10928603622862
2,5,65,50,1,68.52959933833452
6,6,56,54,1,97.19242603725836
2,5,76,73,1,77.38070490502076
2,7,63,52,0,65.91613761816193
2,4,63,87,1,81.14995872619808
3,7,93,46,1,83.50602510114224
2,5,82,79,0,84.4373501262861
4,7,82,45,0,83.25006761905676
9,4,93,78,1,123.16513273447443
6,8,69,89,1,111.81322132422554
1,5,96,69,0,86.73003474885222
8,7,85,61,0,122.05820095894285
7,5,56,64,1,99.51643335941013
3,8,81,67,0,85.01609816489567
1,7,97,59,0,84.97727065521147
5,7,52,78,1,91.36621446835767
4,5,88,42,1,80.72613337647587
8,5,78,44,0,91.9194147432685
1,4,73,40,1,54.10232224774755
1,8,71,54,1,72.89987883539115
4,4,55,65,1,77.67913960413017
8,7,97,42,1,109.16327232074326
5,5,73,79,1,101.53588583836232
2,7,89,80,0,87.59334138239011
6,7,72,86,0,106.74743321703065
5,6,87,81,1,107.44575516048144
2,6,59,73,1,85.24923030559714
3,7,65,44,1,74.75785299467907
9,5,60,70,0,112.12350870393048
7,7,81,52,0,102.22906491777327
7,6,94,82,0,119.05765348450372
6,5,55,40,0,83.43922985172986
8,7,73,61,1,105.80304560127045
4,8,82,54,1,90.23408446846443
8,8,61,65,0,115.61649400149784
4,7,76,57,0,84.01341749705367
8,5,87,87,1,110.52438155047075
9,7,67,48,1,107.08515828426057
3,7,94,40,1,82.87469765081624
3,6,88,82,1,86.31443441284395
2,8,62,48,1,80.26967819943974
3,6,89,62,0,81.131437680672
3,6,79,82,1,98.34281557593758
5,7,98,84,0,109.2700922732797
5,6,90,41,0,78.05824290397979
2,8,62,53,1,70.74745932682289
6,6,83,77,0,100.72458581786228
5,8,85,79,0,111.42835954591818
6,6,79,57,1,98.46230905949925
1,8,74,55,0,68.09067241724127
5,6,51,68,1,86.62695543704884
9,6,85,83,1,134.98075110763062
2,5,67,50,0,72.42100636261793
1,8,54,45,1,70.6237194935334
9,8,68,42,1,109.86218669577084
9,8,91,53,0,116.24915020935356
9,4,67,41,1,92.52031091012049
6,6,81,71,0,100.57090436644471
8,8,70,70,0,108.58069898326782
1,4,59,50,1,51.572439455076456
4,5,86,61,0,91.58521709582682
1,8,98,42,1,72.92085026803863
8,8,71,89,0,127.77970953717653
1,4,62,70,1,76.00873200380005
3,6,66,72,1,90.5835898831671
4,5,58,63,0,81.96442035881593
8,8,73,40,0,94.82343058963147
6,6,93,83,1,125.68925075645333
7,5,63,54,1,96.11562715476525
8,7,95,76,0,122.00965842559351
2,7,57,66,1,75.8546183321668
8,5,86,77,1,114.6441736961152
3,4,68,87,0,89.28648004404712
7,5,77,66,0,102.18756747969393
3,5,95,83,1,96.05323817048712
7,4,90,51,0,88.30786640612298
2,4,79,42,0,56.35038456336227
6,6,56,69,1,104.28066858545553
3,6,75,71,0,81.93373092674965
3,4,89,62,0,79.00545727162083
9,7,95,41,1,120.2517012937953
7,7,95,46,0,94.88924719256792
5,5,60,73,1,90.86502587141472
7,8,63,71,0,101.55616585719655
9,5,70,78,0,123.0903424058302
1,5,57,71,1,82.56691750291206
7,8,52,82,0,111.35781612701085
6,4,77,82,0,106.0169236207712
9,7,78,53,0,105.99822498573636
1,5,72,42,0,67.33664243452141
4,8,67,85,0,99.93848127179331
9,6,84,71,0,121.9655513222487
4,5,62,82,1,94.07237530614522
3,7,61,75,0,83.45983706336195
9,4,96,56,0,118.11521129798058
2,5,99,87,1,100.89861839869154
4,5,54,42,1,79.45687730535191
6,8,88,49,1,103.17664085872522
2,6,60,86,0,78.75816731788454
8,6,60,79,1,111.58328533560756
8,4,96,57,1,110.81482621232306
1,7,91,42,0,64.16749891978337
3,4,96,78,1,90.26269295686154
9,5,80,49,0,109.50708515893513
5,5,80,48,0,80.27564964588244
6,6,62,85,0,103.79096373895659
4,7,63,85,0,96.88066794942803
2,8,98,50,0,77.45923437339717
8,7,94,72,1,130.4539973315437
6,5,91,75,0,99.21429119397693
5,8,74,65,1,102.00812631790386
9,7,82,66,0,117.83058853188291
1,7,82,77,1,86.82872698567925
5,8,64,61,0,84.21543693364009
6,5,65,65,0,96.35408775931732
5,7,93,61,0,101.117553351673
6,8,87,44,1,95.72215735704391
6,5,55,74,1,102.0374360360268
7,8,93,41,1,106.27453843150388
4,8,74,74,0,88.79693927319445
8,7,64,48,0,92.93035542714321
7,5,53,88,1,115.5914072244479
9,7,53,57,0,104.94708092571025
7,4,79,82,1,109.87848527094687
3,4,83,51,0,69.1076205441368
3,5,76,42,1,71.2230310094229
8,8,80,57,1,111.27760235061147
5,7,81,77,0,97.57018483685374
4,7,93,46,1,81.1911794380835
8,5,88,72,0,118.10006643200393
6,5,58,45,0,84.75316836305723
2,4,90,57,0,67.13372274096571
4,6,57,84,1,96.78155647781833
4,5,63,61,1,79.88880898642617
6,6,82,78,1,109.29216388386732
6,5,72,48,0,83.87616710063172
1,8,70,74,0,76.86082892141064
8,8,61,62,1,120.31473542038142
6,4,51,51,0,76.59837157661904
3,4,62,63,0,69.05868087466537
9,6,53,89,1,118.58709285251477
2,5,69,79,1,90.41888478200877
8,7,99,48,0,99.43948834153532
3,4,97,52,0,74.28688541782239
5,7,63,79,1,109.63411420055768
6,7,79,81,1,114.41993093998823
6,5,78,56,0,92.35961002518057
4,6,57,46,0,82.7607323007185
